datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"McCarthy, Denny",Denny McCarthy,150,32993586,6700,24.476,11:35 AM,0,51.8,3.5,0,55.3,0.16,100,4.137644168,
"Davis, Cameron",Cameron Davis,150,32993587,6700,23.986,11:35 AM,0,48.6,2.6,0,51.3,-0.25,100,5.428875051,
"Van Rooyen, Erik",Erik Van Rooyen,150,32993588,6600,24.511,11:05 AM,0,53.4,3.7,0,57.1,0.41,100,10.19051584,
"Lee, Min Woo",Min Woo Lee,150,32993589,6600,24.778,8:15 AM,1,57.7,4.8,0,62.5,1,100,14.58154666,
"Taylor, Nick",Nick Taylor,150,32993591,6500,23.858,8:35 AM,1,48.5,2.7,0,51.3,-0.16,100,4.571944097,
"Rodgers, Patrick",Patrick Rodgers,150,32993590,6500,24.153,9:05 AM,1,53.4,3.8,0,57.2,0.47,100,6.11147943,
"Straka, Sepp",Sepp Straka,150,32993593,6400,24.471,8:35 AM,1,52.8,3.5,0,56.2,0.42,100,5.484305355,
"Todd, Brendon",Brendon Todd,150,32993594,6400,23.967,9:30 AM,1,48.8,2.9,0,51.6,-0.08,100,3.753696056,
"Svensson, Adam",Adam Svensson,150,32993592,6400,24.449,12:30 PM,0,52,3.4,0,55.4,0.33,100,5.101433488,
"Moore, Taylor",Taylor Moore,150,32993597,6300,23.631,9:05 AM,1,47.2,2.5,0,49.6,-0.22,100,6.467884593,
"Putnam, Andrew",Andrew Putnam,150,32993595,6300,23.311,9:30 AM,1,48.2,2.7,0,50.9,-0.1,100,3.402765799,
"Glover, Lucas",Lucas Glover,150,32993596,6300,24.521,12:50 PM,0,51.7,3.4,0,55.1,0.34,100,5.092062183,
"Schenk, Adam",Adam Schenk,150,32993598,6200,24.252,8:25 AM,1,51.3,3.3,0,54.6,0.34,100,5.359494648,
"Lower, Justin",Justin Lower,150,32993600,6200,22.842,8:05 AM,1,44.9,2.1,0,47,-0.43,100,1.964234782,
"Valimaki, Sami",Sami Valimaki,150,32993599,6200,23.838,1:40 PM,0,46.2,2.2,0,48.4,-0.3,100,3.251337149,
"Power, Seamus",Seamus Power,150,32993604,6100,22.775,12:40 PM,0,42.3,1.7,0,44,-0.66,100,2.302929992,
"Hodges, Lee",Lee Hodges,150,32993603,6100,23.725,9:40 AM,1,45.2,2.1,0,47.4,-0.35,100,1.486495012,
"Dunlap, Nick",Nick Dunlap,150,32993601,6100,22.895,7:45 AM,1,41.7,1.6,0,43.3,-0.74,100,3.132707476,
"Hughes, Mackenzie",Mackenzie Hughes,150,32993602,6100,23.321,8:25 AM,1,43.2,1.8,0,45,-0.57,100,2.209465169,
"Ford, David",David Ford,150,32993608,6000,22.019,10:55 AM,0,38.9,1.3,0,40.2,-0.98,100,0.923091532,
"Murray, Grayson",Grayson Murray,150,32993607,6000,22.233,11:05 AM,0,38.8,1.3,0,40,-1,100,1.704783545,
"Pan, C.T.",C.T. Pan,150,32993605,6000,23.269,7:55 AM,1,43.8,1.9,0,45.7,-0.46,100,2.793552398,
"Simpson, Webb",Webb Simpson,150,32993606,6000,23.004,10:55 AM,0,42.6,1.7,0,44.3,-0.59,100,2.223965701,
