"ID","Player","Team","Position","RkOv","Status","Roster Status","FPts","Drafted","ADP","Ros","+/-","%Act","+/-","Ros","%Act"
"*032pt*","Corey Conners","null","null","88","u_c","Active","0","100%","28","97%","+3%","90%","+60%","94%","31%"
"*032pw*","Adam Svensson","null","null","15","MG","Reserve","0","100%","49","95%","+8%","82%","+47%","87%","34%"
"*03d9m*","Daniel Berger","null","null","213","919","Reserve","0","0%","-","72%","+18%","61%","+50%","54%","11%"
"*01qrr*","Ryan Moore","null","null","39","NT 8","Reserve","0","0%","-","41%","-1%","23%","-10%","42%","33%"
"*041km*","Justin Suh","null","null","38","NT 4","Reserve","0","0%","-","81%","-10%","53%","-28%","91%","81%"
"*01qba*","Matt Kuchar","null","null","96","[AW]","Reserve","0","100%","63","60%","+2%","37%","+16%","58%","22%"
"*061qp*","Adrien Dumont De Chassart","null","null","204","[AW]","Reserve","0","0%","-","25%","-7%","11%","-17%","32%","28%"
"*05abl*","Davis Thompson","null","null","9","txms","Reserve","0","0%","-","82%","-2%","68%","-9%","84%","76%"
"*01ra6*","Justin Rose","null","null","142","919","Active","0","100%","11","90%","+6%","74%","+57%","84%","17%"
"*050au*","Rasmus Hojgaard","null","null","319","grrr","Reserve","0","100%","58","23%","+20%","20%","+19%","3%","1%"
"*01szi*","Byeong Hun An","null","null","89","MG","Active","0","100%","50","98%","+3%","95%","+60%","95%","35%"
"*061qc*","Nick Dunlap","null","null","136","NT 8","Active","0","0%","-","50%","+3%","29%","+16%","46%","13%"
"*03scq*","J.J. Spaun","null","null","69","[AW]","Reserve","0","0%","-","45%","-13%","14%","-38%","58%","52%"
"*01rq8*","Brendon Todd","null","null","46","txms","Reserve","0","100%","37","85%","+6%","65%","+32%","79%","33%"
"*04syb*","Carl Yuan","null","null","29","[AW]","Reserve","0","0%","-","64%","+3%","41%","-10%","61%","51%"
"*01qo2*","Rory McIlroy","null","null","219","NT 8","Active","0","100%","7","100%","0%","96%","+48%","100%","48%"
"*03lmu*","Jon Rahm","null","null","2756","u_c","Reserve","0","100%","5","86%","+1%","11%","-2%","85%","13%"
